combo,ptb,num_seeds,acc_mean,acc_std,macro_f1_mean,macro_f1_std,C0_acc_mean,C0_acc_std,C1_acc_mean,C1_acc_std,C2_acc_mean,C2_acc_std,C3_acc_mean,C3_acc_std,C4_acc_mean,C4_acc_std,C5_acc_mean,C5_acc_std,C6_acc_mean,C6_acc_std,worst_class,worst_class_acc_mean,top_error,top3_errors
all3,0.00,5,0.519700,0.014230,0.514440,0.006457,0.392320,0.046254,0.717260,0.189857,0.475280,0.032870,0.525960,0.053670,0.549860,0.061503,0.476540,0.096358,0.607600,0.184689,C0,0.392320,C3->C1 (554),C3->C1: 554; C2->C1: 542; C0->C6: 517
all3,0.05,5,0.189220,0.009016,0.204860,0.013127,0.369880,0.017480,0.215720,0.027569,0.354320,0.031077,0.010640,0.000520,0.022160,0.002683,0.233340,0.041398,0.565820,0.060135,C3,0.010640,C3->C6 (2377),C3->C6: 2377; C4->C6: 948; C3->C1: 665
all3,0.10,5,0.175180,0.021796,0.177560,0.025550,0.253860,0.044844,0.216760,0.155893,0.358600,0.072710,0.012560,0.004186,0.013200,0.005540,0.492440,0.049745,0.149360,0.078302,C3,0.012560,C3->C6 (1688),C3->C6: 1688; C3->C1: 756; C4->C6: 703
all3,0.15,5,0.091680,0.016661,0.082000,0.012694,0.112820,0.015500,0.017820,0.014661,0.171520,0.072097,0.015300,0.009040,0.020580,0.003510,0.373480,0.118098,0.005040,0.002520,C6,0.005040,C3->C5 (1352),C3->C5: 1352; C3->C6: 1290; C2->C5: 707
all3,0.20,5,0.091440,0.010367,0.075560,0.007781,0.058960,0.039660,0.020940,0.004696,0.230660,0.069259,0.022400,0.019653,0.008460,0.001989,0.340900,0.040432,0.015160,0.017720,C4,0.008460,C3->C5 (1579),C3->C5: 1579; C3->C6: 947; C2->C5: 557
all3,0.25,5,0.077900,0.008533,0.057680,0.005698,0.063480,0.020415,0.011520,0.005120,0.106460,0.040306,0.016120,0.010606,0.006320,0.002115,0.415140,0.048540,0.013900,0.015200,C4,0.006320,C3->C5 (1951),C3->C5: 1951; C4->C5: 774; C2->C3: 703
deg+ood,0.00,5,0.456640,0.034186,0.467880,0.038290,0.425640,0.036351,0.462800,0.046444,0.540840,0.045058,0.391540,0.073516,0.368340,0.037012,0.450000,0.131612,0.836720,0.033354,C4,0.368340,C3->C6 (1112),C3->C6: 1112; C0->C6: 728; C4->C0: 686
deg+ood,0.05,5,0.251980,0.018211,0.239260,0.020515,0.412180,0.141888,0.701580,0.049104,0.479020,0.059936,0.026780,0.006845,0.012140,0.009060,0.522700,0.131488,0.024040,0.002520,C4,0.012140,C3->C1 (1734),C3->C1: 1734; C4->C1: 1169; C3->C0: 980
deg+ood,0.10,5,0.189880,0.035612,0.162140,0.027798,0.342920,0.203986,0.049220,0.009138,0.458080,0.076235,0.016960,0.001120,0.003680,0.001323,0.593200,0.054537,0.000000,0.000000,C6,0.000000,C3->C0 (1489),C3->C0: 1489; C3->C1: 952; C0->C5: 765
deg+ood,0.15,5,0.111100,0.020058,0.089240,0.016922,0.105780,0.014634,0.025100,0.007689,0.266140,0.071048,0.043980,0.016413,0.001060,0.002120,0.371940,0.120397,0.000000,0.000000,C6,0.000000,C3->C0 (1177),C3->C0: 1177; C3->C5: 967; C3->C1: 943
