bb,tag,ptb,sim,deg,ood,valid_seeds,num_seeds,complete,has_nan,has_traceback,mean,std,trim_mean_without_min,trim_std_without_min,reported_mean_without_min,reported_std_without_min,pollution_added_edges,pollution_deleted_edges,pollution_clean_edges,pollution_attack_edges,filter_module_f1,filter_module_auc,filter_module_ap,gppt_filter_f1,gppt_filter_auc,gppt_filter_ap,tau_tune_f1,tau_tune_auc,tau_tune_ap,out_detect_pt_edges_f1,out_detect_pt_edges_auc,out_detect_pt_edges_ap,sim_pt_node_f1,sim_pt_edge_f1,sim_pt_edge_auc,degree_pt_node_f1,degree_pt_edge_f1,degree_pt_edge_auc,out_detect_pt_node_f1,out_detect_pt_edge_f1,out_detect_pt_edge_auc,seed1,seed2,seed3,seed4,seed5,file
peak,all3,0.0,0.3,1,0.5,5,5,True,False,False,0.6527,0.0269,0.6598,0.0257,0.6598,0.0257,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6254,0.6881,0.6449,0.6806,0.6246,logs/combo_filters_edge_auc_f1_diag/peak_all3_sim0.3_deg1_ood0.5_ptb0.0.log
peak,deg_ood,0.0,-1.0,1,0.5,5,5,True,False,False,0.6283,0.0284,0.6365,0.0259,0.6365,0.0259,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6080,0.6267,0.6786,0.5955,0.6329,logs/combo_filters_edge_auc_f1_diag/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.0.log
peak,sim_deg,0.0,0.3,1,-1.0,5,5,True,False,False,0.6078,0.0138,0.6118,0.0126,0.6118,0.0126,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.5959,0.6038,0.5918,0.6279,0.6196,logs/combo_filters_edge_auc_f1_diag/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.0.log
peak,sim_ood,0.0,0.3,-1,0.5,5,5,True,False,False,0.6527,0.0269,0.6598,0.0257,0.6598,0.0257,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6254,0.6881,0.6449,0.6806,0.6246,logs/combo_filters_edge_auc_f1_diag/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.0.log
peak,all3,0.05,0.3,1,0.5,5,5,True,True,False,0.2376,0.0075,0.2398,0.0068,0.2398,0.0068,312.0000,19.0000,5278.0000,5571.0000,,,,,,,,,,,,,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.2288,0.2488,0.2317,0.2350,0.2438,logs/combo_filters_edge_auc_f1_diag/peak_all3_sim0.3_deg1_ood0.5_ptb0.05.log
peak,deg_ood,0.05,-1.0,1,0.5,5,5,True,True,False,0.2888,0.0263,0.3010,0.0111,0.3010,0.0111,312.0000,19.0000,5278.0000,5571.0000,,,,,,,,,,,,,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.2899,0.3007,0.2400,0.3189,0.2944,logs/combo_filters_edge_auc_f1_diag/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.05.log
peak,sim_deg,0.05,0.3,1,-1.0,5,5,True,True,False,0.1590,0.0247,0.1654,0.0236,0.1654,0.0236,312.0000,19.0000,5278.0000,5571.0000,,,,,,,,,,,,,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1379,0.1840,0.1466,0.1333,0.1931,logs/combo_filters_edge_auc_f1_diag/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.05.log
peak,sim_ood,0.05,0.3,-1,0.5,5,5,True,True,False,0.2308,0.0181,0.2358,0.0169,0.2358,0.0169,312.0000,19.0000,5278.0000,5571.0000,,,,,,,,,,,,,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.2110,0.2172,0.2625,0.2263,0.2371,logs/combo_filters_edge_auc_f1_diag/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.05.log
peak,all3,0.1,0.3,1,0.5,5,5,True,True,False,0.1536,0.0118,0.1572,0.0104,0.1572,0.0104,610.0000,53.0000,5278.0000,5835.0000,,,,,,,,,,,,,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1503,0.1391,0.1669,0.1678,0.1437,logs/combo_filters_edge_auc_f1_diag/peak_all3_sim0.3_deg1_ood0.5_ptb0.1.log
peak,deg_ood,0.1,-1.0,1,0.5,5,5,True,True,False,0.1722,0.0290,0.1849,0.0156,0.1849,0.0156,610.0000,53.0000,5278.0000,5835.0000,,,,,,,,,,,,,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1582,0.1213,0.1931,0.1973,0.1910,logs/combo_filters_edge_auc_f1_diag/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.1.log
peak,sim_deg,0.1,0.3,1,-1.0,5,5,True,True,False,0.1473,0.0322,0.1573,0.0281,0.1573,0.0281,610.0000,53.0000,5278.0000,5835.0000,,,,,,,,,,,,,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1532,0.1840,0.1071,0.1790,0.1130,logs/combo_filters_edge_auc_f1_diag/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.1.log
peak,sim_ood,0.1,0.3,-1,0.5,5,5,True,True,False,0.1504,0.0093,0.1541,0.0063,0.1541,0.0063,610.0000,53.0000,5278.0000,5835.0000,,,,,,,,,,,,,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1449,0.1358,0.1574,0.1620,0.1520,logs/combo_filters_edge_auc_f1_diag/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.1.log
peak,all3,0.15,0.3,1,0.5,5,5,True,True,False,0.1111,0.0242,0.1187,0.0212,0.1187,0.0212,919.0000,75.0000,5278.0000,6122.0000,,,,,,,,,,,,,0.3115,0.3247,0.6324,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.0810,0.0934,0.1213,0.1088,0.1512,logs/combo_filters_edge_auc_f1_diag/peak_all3_sim0.3_deg1_ood0.5_ptb0.15.log
peak,deg_ood,0.15,-1.0,1,0.5,5,5,True,True,False,0.1329,0.0239,0.1417,0.0180,0.1417,0.0180,919.0000,75.0000,5278.0000,6122.0000,,,,,,,,,,,,,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.3761,0.2610,0.5000,0.0976,0.1636,0.1246,0.1553,0.1233,logs/combo_filters_edge_auc_f1_diag/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.15.log
