bb,tag,ptb,sim,deg,ood,valid_seeds,num_seeds,complete,has_nan,has_traceback,mean,std,trim_mean_without_min,trim_std_without_min,reported_mean_without_min,reported_std_without_min,pollution_added_edges,pollution_deleted_edges,pollution_clean_edges,pollution_attack_edges,filter_module_f1,filter_module_auc,filter_module_ap,gppt_filter_f1,gppt_filter_auc,gppt_filter_ap,tau_tune_f1,tau_tune_auc,tau_tune_ap,out_detect_pt_edges_f1,out_detect_pt_edges_auc,out_detect_pt_edges_ap,sim_pt_node_f1,sim_pt_edge_f1,sim_pt_edge_auc,degree_pt_node_f1,degree_pt_edge_f1,degree_pt_edge_auc,out_detect_pt_node_f1,out_detect_pt_edge_f1,out_detect_pt_edge_auc,seed1,seed2,seed3,seed4,seed5,file
peak,all3_degscan,0.05,0.3,1,0.5,5,5,True,False,False,0.2123,0.0268,0.2201,0.0243,0.2201,0.0243,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1477,0.7175,0.1632,0.1078,0.8612,0.2613,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.2438,0.1811,0.1815,0.2176,0.2375,logs/combo_filters_midmetrics_deg_sweep/peak_all3_degscan_sim0.3_deg1_ood0.5_ptb0.05.log
peak,all3_degscan,0.05,0.3,2,0.5,5,5,True,False,False,0.1856,0.0173,0.1903,0.0162,0.1903,0.0162,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1465,0.6584,0.1269,0.1078,0.8612,0.2613,0.1953,0.1433,0.6450,0.0000,0.0000,0.4679,0.1597,0.1061,0.5001,0.1927,0.1669,0.2151,0.1823,0.1711,logs/combo_filters_midmetrics_deg_sweep/peak_all3_degscan_sim0.3_deg2_ood0.5_ptb0.05.log
peak,all3_degscan,0.05,0.3,3,0.5,5,5,True,False,False,0.2140,0.0415,0.2271,0.0361,0.2271,0.0361,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1358,0.7056,0.1341,0.1078,0.8612,0.2613,0.1953,0.1433,0.6450,0.1276,0.0908,0.4995,0.1597,0.1061,0.5001,0.2184,0.1715,0.2600,0.1620,0.2583,logs/combo_filters_midmetrics_deg_sweep/peak_all3_degscan_sim0.3_deg3_ood0.5_ptb0.05.log
peak,all3_degscan,0.05,0.3,5,0.5,5,5,True,False,False,0.1811,0.0215,0.1886,0.0173,0.1886,0.0173,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1213,0.6672,0.0976,0.1078,0.8612,0.2613,0.1953,0.1433,0.6450,0.1579,0.1106,0.5247,0.1597,0.1061,0.5001,0.1678,0.2006,0.2101,0.1761,0.1512,logs/combo_filters_midmetrics_deg_sweep/peak_all3_degscan_sim0.3_deg5_ood0.5_ptb0.05.log
peak,deg_ood_degscan,0.05,-1.0,1,0.5,5,5,True,False,False,0.2800,0.0304,0.2893,0.0268,0.2893,0.0268,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1212,0.7736,0.2457,0.1078,0.8612,0.2613,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.2874,0.3264,0.2508,0.2425,0.2928,logs/combo_filters_midmetrics_deg_sweep/peak_deg_ood_degscan_sim-1.0_deg1_ood0.5_ptb0.05.log
peak,deg_ood_degscan,0.05,-1.0,2,0.5,5,5,True,False,False,0.2161,0.0310,0.2297,0.0168,0.2297,0.0168,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1326,0.6997,0.1764,0.1078,0.8612,0.2613,0.0000,0.0000,0.5000,0.0000,0.0000,0.4679,0.1597,0.1061,0.5001,0.2463,0.2018,0.2326,0.1620,0.2380,logs/combo_filters_midmetrics_deg_sweep/peak_deg_ood_degscan_sim-1.0_deg2_ood0.5_ptb0.05.log
peak,deg_ood_degscan,0.05,-1.0,3,0.5,5,5,True,False,False,0.2728,0.0418,0.2908,0.0236,0.2908,0.0236,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1109,0.7574,0.2078,0.1078,0.8612,0.2613,0.0000,0.0000,0.5000,0.1276,0.0908,0.4995,0.1597,0.1061,0.5001,0.2006,0.2770,0.2712,0.2841,0.3310,logs/combo_filters_midmetrics_deg_sweep/peak_deg_ood_degscan_sim-1.0_deg3_ood0.5_ptb0.05.log
peak,deg_ood_degscan,0.05,-1.0,5,0.5,5,5,True,False,False,0.2866,0.0298,0.2962,0.0255,0.2962,0.0255,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.0829,0.6948,0.1139,0.1078,0.8612,0.2613,0.0000,0.0000,0.5000,0.1579,0.1106,0.5247,0.1597,0.1061,0.5001,0.2483,0.3343,0.2641,0.2857,0.3007,logs/combo_filters_midmetrics_deg_sweep/peak_deg_ood_degscan_sim-1.0_deg5_ood0.5_ptb0.05.log
peak,sim_deg_degscan,0.05,0.3,1,-1.0,5,5,True,False,False,0.1610,0.0256,0.1684,0.0234,0.1684,0.0234,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1176,0.7395,0.1865,0.0000,0.8612,0.2613,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1316,0.2022,0.1524,0.1416,0.1773,logs/combo_filters_midmetrics_deg_sweep/peak_sim_deg_degscan_sim0.3_deg1_ood-1.0_ptb0.05.log
peak,sim_deg_degscan,0.05,0.3,2,-1.0,5,5,True,False,False,0.1553,0.0105,0.1581,0.0100,0.1581,0.0100,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1200,0.6450,0.1003,0.0000,0.8612,0.2613,0.1953,0.1433,0.6450,0.0000,0.0000,0.4679,0.0000,0.0000,0.5000,0.1441,0.1557,0.1744,0.1474,0.1549,logs/combo_filters_midmetrics_deg_sweep/peak_sim_deg_degscan_sim0.3_deg2_ood-1.0_ptb0.05.log
