bb,tag,ptb,sim,deg,ood,valid_seeds,num_seeds,complete,has_nan,has_traceback,mean,std,trim_mean_without_min,trim_std_without_min,reported_mean_without_min,reported_std_without_min,pollution_added_edges,pollution_deleted_edges,pollution_clean_edges,pollution_attack_edges,filter_module_f1,filter_module_auc,filter_module_ap,gppt_filter_f1,gppt_filter_auc,gppt_filter_ap,tau_tune_f1,tau_tune_auc,tau_tune_ap,out_detect_pt_edges_f1,out_detect_pt_edges_auc,out_detect_pt_edges_ap,sim_pt_node_f1,sim_pt_edge_f1,sim_pt_edge_auc,degree_pt_node_f1,degree_pt_edge_f1,degree_pt_edge_auc,out_detect_pt_node_f1,out_detect_pt_edge_f1,out_detect_pt_edge_auc,seed1,seed2,seed3,seed4,seed5,file
peak,all3,0.0,0.3,1,0.5,5,5,True,False,False,0.6527,0.0269,0.6598,0.0257,0.6598,0.0257,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6254,0.6881,0.6449,0.6806,0.6246,logs/combo_filters_midmetrics/peak_all3_sim0.3_deg1_ood0.5_ptb0.0.log
peak,deg_ood,0.0,-1.0,1,0.5,5,5,True,False,False,0.6283,0.0284,0.6365,0.0259,0.6365,0.0259,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6080,0.6267,0.6786,0.5955,0.6329,logs/combo_filters_midmetrics/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.0.log
peak,sim_deg,0.0,0.3,1,-1.0,5,5,True,False,False,0.6078,0.0138,0.6118,0.0126,0.6118,0.0126,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.5959,0.6038,0.5918,0.6279,0.6196,logs/combo_filters_midmetrics/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.0.log
peak,sim_ood,0.0,0.3,-1,0.5,5,5,True,False,False,0.6527,0.0269,0.6598,0.0257,0.6598,0.0257,0.0000,0.0000,5278.0000,5278.0000,,,,,,,,,,,,,,,,,,,,,,0.6254,0.6881,0.6449,0.6806,0.6246,logs/combo_filters_midmetrics/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.0.log
peak,all3,0.05,0.3,1,0.5,5,5,True,False,False,0.2434,0.0171,0.2494,0.0137,0.2494,0.0137,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1383,0.7199,0.1632,0.1078,0.8612,0.2613,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.2492,0.2587,0.2625,0.2272,0.2197,logs/combo_filters_midmetrics/peak_all3_sim0.3_deg1_ood0.5_ptb0.05.log
peak,deg_ood,0.05,-1.0,1,0.5,5,5,True,False,False,0.2834,0.0278,0.2924,0.0237,0.2924,0.0237,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1087,0.7867,0.2613,0.1078,0.8612,0.2613,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.3073,0.3177,0.2554,0.2475,0.2890,logs/combo_filters_midmetrics/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.05.log
peak,sim_deg,0.05,0.3,1,-1.0,5,5,True,False,False,0.1573,0.0223,0.1634,0.0209,0.1634,0.0209,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1260,0.7335,0.1834,0.0000,0.8612,0.2613,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.1379,0.1827,0.1478,0.1329,0.1852,logs/combo_filters_midmetrics/peak_sim_deg_sim0.3_deg1_ood-1.0_ptb0.05.log
peak,sim_ood,0.05,0.3,-1,0.5,5,5,True,False,False,0.2311,0.0256,0.2431,0.0095,0.2431,0.0095,312.0000,19.0000,5278.0000,5571.0000,0.1078,0.8612,0.2613,,,,0.1186,0.7251,0.1666,0.1078,0.8612,0.2613,0.1953,0.1433,0.6450,0.0000,0.0000,0.5000,0.1597,0.1061,0.5001,0.2334,0.2359,0.2575,0.1827,0.2458,logs/combo_filters_midmetrics/peak_sim_ood_sim0.3_deg-1_ood0.5_ptb0.05.log
peak,all3,0.1,0.3,1,0.5,5,5,True,False,False,0.1635,0.0095,0.1673,0.0063,0.1673,0.0063,610.0000,53.0000,5278.0000,5835.0000,0.1922,0.8623,0.3969,,,,0.1168,0.6786,0.2082,0.1922,0.8623,0.3969,0.2586,0.2437,0.6371,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1599,0.1632,0.1694,0.1765,0.1483,logs/combo_filters_midmetrics/peak_all3_sim0.3_deg1_ood0.5_ptb0.1.log
peak,deg_ood,0.1,-1.0,1,0.5,5,5,True,False,False,0.1620,0.0220,0.1699,0.0172,0.1699,0.0172,610.0000,53.0000,5278.0000,5835.0000,0.1922,0.8623,0.3969,,,,0.1177,0.6896,0.2489,0.1922,0.8623,0.3969,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.2817,0.1893,0.5000,0.1624,0.1304,0.1964,0.1495,0.1711,logs/combo_filters_midmetrics/peak_deg_ood_sim-1.0_deg1_ood0.5_ptb0.1.log
