rank_by_val,selection_status,aug1,aug2,aug_ratio,pretrain_lr,n_seeds,seeds_ok,seeds_missing,val_mean,val_std,test_mean,test_std
1,complete_5_of_5,maskN,dropN,0.2,0.001,5,1;2;3;4;5,,0.464151,0.044522,0.499502,0.047767
2,complete_5_of_5,maskN,maskN,0.1,0.001,5,1;2;3;4;5,,0.463396,0.048290,0.492691,0.056772
3,complete_5_of_5,dropN,dropN,0.2,0.001,5,1;2;3;4;5,,0.455849,0.083579,0.491528,0.070084
4,complete_5_of_5,dropN,dropN,0.1,0.001,5,1;2;3;4;5,,0.449811,0.052473,0.467027,0.047624
5,complete_5_of_5,permE,permE,0.1,0.001,5,1;2;3;4;5,,0.449811,0.052636,0.478987,0.056003
6,complete_5_of_5,dropN,maskN,0.1,0.001,5,1;2;3;4;5,,0.446793,0.050210,0.478488,0.045705
7,complete_5_of_5,maskN,dropN,0.1,0.001,5,1;2;3;4;5,,0.443019,0.044815,0.461046,0.050468
8,complete_5_of_5,maskN,dropN,0.3,0.001,5,1;2;3;4;5,,0.443019,0.049178,0.483472,0.042899
9,complete_5_of_5,permE,permE,0.2,0.001,5,1;2;3;4;5,,0.437736,0.057922,0.451578,0.057417
10,complete_5_of_5,dropN,maskN,0.2,0.001,5,1;2;3;4;5,,0.435472,0.039187,0.490365,0.053487
11,complete_5_of_5,maskN,maskN,0.3,0.001,5,1;2;3;4;5,,0.435472,0.036321,0.479568,0.049049
12,complete_5_of_5,dropN,maskN,0.3,0.001,5,1;2;3;4;5,,0.431698,0.056960,0.458887,0.044113
13,complete_5_of_5,permE,dropN,0.1,0.001,5,1;2;3;4;5,,0.431698,0.040333,0.447010,0.028335
14,complete_5_of_5,maskN,permE,0.1,0.001,5,1;2;3;4;5,,0.429434,0.018853,0.462375,0.020878
15,complete_5_of_5,maskN,permE,0.2,0.001,5,1;2;3;4;5,,0.424905,0.023938,0.454070,0.016098
16,complete_5_of_5,permE,dropN,0.2,0.001,5,1;2;3;4;5,,0.423396,0.038439,0.469020,0.030540
17,complete_5_of_5,dropN,dropN,0.3,0.001,5,1;2;3;4;5,,0.421132,0.060311,0.457890,0.044895
18,complete_5_of_5,maskN,maskN,0.2,0.001,5,1;2;3;4;5,,0.418868,0.067757,0.455399,0.064522
19,complete_5_of_5,dropN,permE,0.1,0.001,5,1;2;3;4;5,,0.415094,0.048561,0.448754,0.047157
20,complete_5_of_5,permE,dropN,0.3,0.001,5,1;2;3;4;5,,0.413585,0.037020,0.449502,0.033781
21,complete_5_of_5,dropN,permE,0.3,0.001,5,1;2;3;4;5,,0.412830,0.036242,0.438622,0.026087
22,complete_5_of_5,permE,permE,0.3,0.001,5,1;2;3;4;5,,0.412075,0.044611,0.435548,0.037309
23,complete_5_of_5,maskN,permE,0.3,0.001,5,1;2;3;4;5,,0.409811,0.031446,0.448588,0.033546
24,complete_5_of_5,permE,maskN,0.1,0.001,5,1;2;3;4;5,,0.408302,0.065247,0.437957,0.069911
25,complete_5_of_5,permE,maskN,0.2,0.001,5,1;2;3;4;5,,0.403774,0.043486,0.407060,0.030267
26,complete_5_of_5,permE,maskN,0.3,0.001,5,1;2;3;4;5,,0.401509,0.016638,0.427326,0.017175
27,complete_5_of_5,dropN,permE,0.2,0.001,5,1;2;3;4;5,,0.400755,0.019593,0.430814,0.019820
