run_key,status,aug1,aug2,aug_ratio,pretrain_lr,pretrain_seed,source_dataset,target_dataset,source_original_dim,target_original_dim,svd_dim,feature_alignment,source_svd_sha256,encoder_dimensions,target_nodes,target_edges,shot,split,train_n,val_n,test_n,val_accuracy,test_accuracy,checkpoint_sha256,checkpoint,log_path,recorded_utc,error
a1=dropN|a2=dropN|r=0.1|s=1,ok,dropN,dropN,0.1,0.001,1,Citeseer_Nettack_LCC,Cora_full_clean,3703,1433,100,independent_svd_shape_only,c5acb8034c33d907e4aec92fda71254e59b556367d9c96a92964f75044bbbb3e,100->256->256,2708,13264,5,1,35,265,2408,0.535849,0.531561,25bfafe8bcfd4495df6a49542b7e64c2b1897468bcfdcb6cf71cddc7c53a84d4,/home/user/LnL/DFS_HK5/pre_trained_model_raw/Citeseer.GraphCL.GCN.256_hidden_dim.preprocess_svd_100.aug1_dropN.aug2_dropN.lr_0.001.ratio_0.1.seed_1.pth,/home/user/LnL/DFS_HK5/logs/citeseer_svd100_to_cora_svd100_graphcl_135/run_logs/a1_dropN__a2_dropN__r_0.1__s_1.attempt_20260804T144114Z_1343893.log,2026-08-04T14:41:50+00:00,
a1=dropN|a2=permE|r=0.1|s=1,ok,dropN,permE,0.1,0.001,1,Citeseer_Nettack_LCC,Cora_full_clean,3703,1433,100,independent_svd_shape_only,c5acb8034c33d907e4aec92fda71254e59b556367d9c96a92964f75044bbbb3e,100->256->256,2708,13264,5,1,35,265,2408,0.471698,0.518688,00c94371b60d40fd89f57291ec622503651523788f58efb93a95bd56d0271965,/home/user/LnL/DFS_HK5/pre_trained_model_raw/Citeseer.GraphCL.GCN.256_hidden_dim.preprocess_svd_100.aug1_dropN.aug2_permE.lr_0.001.ratio_0.1.seed_1.pth,/home/user/LnL/DFS_HK5/logs/citeseer_svd100_to_cora_svd100_graphcl_135/run_logs/a1_dropN__a2_permE__r_0.1__s_1.attempt_20260804T144153Z_1343893.log,2026-08-04T14:42:30+00:00,
a1=dropN|a2=maskN|r=0.1|s=1,ok,dropN,maskN,0.1,0.001,1,Citeseer_Nettack_LCC,Cora_full_clean,3703,1433,100,independent_svd_shape_only,c5acb8034c33d907e4aec92fda71254e59b556367d9c96a92964f75044bbbb3e,100->256->256,2708,13264,5,1,35,265,2408,0.532075,0.547342,d650ba2d133f1858fe63aa57cf6d3e45fafe645968787e22d4dc7c7b5e32e549,/home/user/LnL/DFS_HK5/pre_trained_model_raw/Citeseer.GraphCL.GCN.256_hidden_dim.preprocess_svd_100.aug1_dropN.aug2_maskN.lr_0.001.ratio_0.1.seed_1.pth,/home/user/LnL/DFS_HK5/logs/citeseer_svd100_to_cora_svd100_graphcl_135/run_logs/a1_dropN__a2_maskN__r_0.1__s_1.attempt_20260804T144233Z_1343893.log,2026-08-04T14:43:10+00:00,
a1=permE|a2=dropN|r=0.1|s=1,ok,permE,dropN,0.1,0.001,1,Citeseer_Nettack_LCC,Cora_full_clean,3703,1433,100,independent_svd_shape_only,c5acb8034c33d907e4aec92fda71254e59b556367d9c96a92964f75044bbbb3e,100->256->256,2708,13264,5,1,35,265,2408,0.486792,0.485465,108e065970f6e792ae13f85fe111f7ee0ca5729148d3e56b174d4491c19dfa94,/home/user/LnL/DFS_HK5/pre_trained_model_raw/Citeseer.GraphCL.GCN.256_hidden_dim.preprocess_svd_100.aug1_permE.aug2_dropN.lr_0.001.ratio_0.1.seed_1.pth,/home/user/LnL/DFS_HK5/logs/citeseer_svd100_to_cora_svd100_graphcl_135/run_logs/a1_permE__a2_dropN__r_0.1__s_1.attempt_20260804T144313Z_1343893.log,2026-08-04T14:43:51+00:00,
a1=permE|a2=permE|r=0.1|s=1,ok,permE,permE,0.1,0.001,1,Citeseer_Nettack_LCC,Cora_full_clean,3703,1433,100,independent_svd_shape_only,c5acb8034c33d907e4aec92fda71254e59b556367d9c96a92964f75044bbbb3e,100->256->256,2708,13264,5,1,35,265,2408,0.505660,0.508721,b9cf024cb0c188ba851e0d5986d1e9a7d7533b9073d96fa6f90562b03a51babe,/home/user/LnL/DFS_HK5/pre_trained_model_raw/Citeseer.GraphCL.GCN.256_hidden_dim.preprocess_svd_100.aug1_permE.aug2_permE.lr_0.001.ratio_0.1.seed_1.pth,/home/user/LnL/DFS_HK5/logs/citeseer_svd100_to_cora_svd100_graphcl_135/run_logs/a1_permE__a2_permE__r_0.1__s_1.attempt_20260804T144353Z_1343893.log,2026-08-04T14:44:31+00:00,
a1=permE|a2=maskN|r=0.1|s=1,ok,permE,maskN,0.1,0.001,1,Citeseer_Nettack_LCC,Cora_full_clean,3703,1433,100,independent_svd_shape_only,c5acb8034c33d907e4aec92fda71254e59b556367d9c96a92964f75044bbbb3e,100->256->256,2708,13264,5,1,35,265,2408,0.449057,0.503738,9f7524d1b39bd960eb31113c7ea8eddbea6013130bcfede7736d9fa83b1e3640,/home/user/LnL/DFS_HK5/pre_trained_model_raw/Citeseer.GraphCL.GCN.256_hidden_dim.preprocess_svd_100.aug1_permE.aug2_maskN.lr_0.001.ratio_0.1.seed_1.pth,/home/user/LnL/DFS_HK5/logs/citeseer_svd100_to_cora_svd100_graphcl_135/run_logs/a1_permE__a2_maskN__r_0.1__s_1.attempt_20260804T144434Z_1343893.log,2026-08-04T14:45:11+00:00,
a1=maskN|a2=dropN|r=0.1|s=1,ok,maskN,dropN,0.1,0.001,1,Citeseer_Nettack_LCC,Cora_full_clean,3703,1433,100,independent_svd_shape_only,c5acb8034c33d907e4aec92fda71254e59b556367d9c96a92964f75044bbbb3e,100->256->256,2708,13264,5,1,35,265,2408,0.509434,0.529900,1e001ab696f33844aa33eeea1aa8fdb518738dfc1b49fb060f79f4d7dd09721f,/home/user/LnL/DFS_HK5/pre_trained_model_raw/Citeseer.GraphCL.GCN.256_hidden_dim.preprocess_svd_100.aug1_maskN.aug2_dropN.lr_0.001.ratio_0.1.seed_1.pth,/home/user/LnL/DFS_HK5/logs/citeseer_svd100_to_cora_svd100_graphcl_135/run_logs/a1_maskN__a2_dropN__r_0.1__s_1.attempt_20260804T144514Z_1343893.log,2026-08-04T14:45:51+00:00,
a1=maskN|a2=permE|r=0.1|s=1,ok,maskN,permE,0.1,0.001,1,Citeseer_Nettack_LCC,Cora_full_clean,3703,1433,100,independent_svd_shape_only,c5acb8034c33d907e4aec92fda71254e59b556367d9c96a92964f75044bbbb3e,100->256->256,2708,13264,5,1,35,265,2408,0.445283,0.485050,7219b94fdcd7e7c31a5f7a8e58a04685c03a8c30a41d0ff1185b24b299636b66,/home/user/LnL/DFS_HK5/pre_trained_model_raw/Citeseer.GraphCL.GCN.256_hidden_dim.preprocess_svd_100.aug1_maskN.aug2_permE.lr_0.001.ratio_0.1.seed_1.pth,/home/user/LnL/DFS_HK5/logs/citeseer_svd100_to_cora_svd100_graphcl_135/run_logs/a1_maskN__a2_permE__r_0.1__s_1.attempt_20260804T144554Z_1343893.log,2026-08-04T14:46:32+00:00,
a1=maskN|a2=maskN|r=0.1|s=1,ok,maskN,maskN,0.1,0.001,1,Citeseer_Nettack_LCC,Cora_full_clean,3703,1433,100,independent_svd_shape_only,c5acb8034c33d907e4aec92fda71254e59b556367d9c96a92964f75044bbbb3e,100->256->256,2708,13264,5,1,35,265,2408,0.520755,0.536130,22d39ddf2e48a205c3c489a9fd4eedce4fd1c26dba59a145ba96a97e88f6c555,/home/user/LnL/DFS_HK5/pre_trained_model_raw/Citeseer.GraphCL.GCN.256_hidden_dim.preprocess_svd_100.aug1_maskN.aug2_maskN.lr_0.001.ratio_0.1.seed_1.pth,/home/user/LnL/DFS_HK5/logs/citeseer_svd100_to_cora_svd100_graphcl_135/run_logs/a1_maskN__a2_maskN__r_0.1__s_1.attempt_20260804T144634Z_1343893.log,2026-08-04T14:47:12+00:00,
a1=dropN|a2=dropN|r=0.2|s=1,ok,dropN,dropN,0.2,0.001,1,Citeseer_Nettack_LCC,Cora_full_clean,3703,1433,100,independent_svd_shape_only,c5acb8034c33d907e4aec92fda71254e59b556367d9c96a92964f75044bbbb3e,100->256->256,2708,13264,5,1,35,265,2408,0.532075,0.565615,4bec0fb2f8f07da6845f68406d011958c689ffccd7ac3085df10fb4f07d84cbc,/home/user/LnL/DFS_HK5/pre_trained_model_raw/Citeseer.GraphCL.GCN.256_hidden_dim.preprocess_svd_100.aug1_dropN.aug2_dropN.lr_0.001.ratio_0.2.seed_1.pth,/home/user/LnL/DFS_HK5/logs/citeseer_svd100_to_cora_svd100_graphcl_135/run_logs/a1_dropN__a2_dropN__r_0.2__s_1.attempt_20260804T144714Z_1343893.log,2026-08-04T14:47:52+00:00,
